CO_ENTIDADE,NO_ENTIDADE
24050296,EM DE 1 E 2 GRS PROFª ASCENDINA LUSTOSA
24050318,ESCOLA ESTADUAL MONSENHOR PAIVA
24050326,ESCOLA ESTADUAL SANTA LUZIA
24050334,EM CONEGO ANTONIO BARROS
24050342,EM CORTEZ PEREIRA
24050350,EM DE AREIAS
24050369,EM DE EUZEBIO
24050377,EM DE JACARE
24050385,EM DO ARACA II
24050393,EM FELINTO MULLER
24050407,EM FILOMENA CURCIO CABRAL
24050415,EM JESSE PINTO FREIRE
24050431,EM STA TEREZINHA
24050440,CMEI TEODOSIA TOMAZ
24050466,CMEI JARDIM ESCOLA GURIZINHO FELIZ
24067709,CENTRO EDUCACIONAL SAO JOSE
24084247,CENTRO EDUCACIONAL MAOS UNIDAS
24085022,JARDIM ESCOLA CENTRO CULTURAL DA CRIANCA
