CO_ENTIDADE,NO_ENTIDADE
26095998,COLEGIO MUNICIPAL PE FRANCISCO GERAEDTS
26096013,ESCOLA ESTACIO DE SOUZA LEAO
26096021,ESCOLA INES GOUVEIA
26096030,ESCOLA DE REFERENCIA EM ENSINO MEDIO JOAO VICENTE DE QUEIROZ
26096099,ESCOLA MUNICIPAL ARTUR COUTINHO
26096129,ESCOLA MUL FRANCISCO A OLIVEIRA CALADO
26096137,ESCOLA MUNICIPAL JOAO PAULO II
26096153,ESCOLA MUL JULIETA PEDROSA COSTA
26096188,ESCOLA MUNICIPAL RURAL
26096196,ESCOLA MUNICIPAL RURAL
26096218,ESCOLA MUNICIPAL RURAL
26096242,ESCOLA MUNICIPAL SANTA BARBARA
26096277,ESCOLA MUNICIPAL SETE DE SETEMBRO
26096285,ESCOLA MUNICIPAL SANTA LUZIA
26096323,ESCOLA NOSSA SENHORA DO BOM PARTO
26096358,ESCOLA DE REFERENCIA EM ENSINO MEDIO JOAO VICENTE DE QUEIROZ - USINA
26096374,ESCOLA SAO JUDAS TADEU
26096404,ESCOLA SANTA RITA DE CASSIA
26096412,ESCOLA VENANCIO PESSOA DE MELO
26096439,ESCOLA AGROVILA LIBERAL
26096510,ESCOLA MUNICIPAL ARTHUR NETO
26096595,ESCOLA MUNICIPAL RURAL SAO LUIS
26096625,ESCOLA MUNICIPAL RURAL CAMURINZINHO
26096633,ESCOLA MUNICIPAL SEVERINO CANTO
26096714,GR ESC ANTONIO FRANCISCO DA C AZEVEDO
26096730,GRUPO ESCOLAR SAO JOAQUIM
26096749,INSTITUTO EDUCACIONAL SANTA MARIA
26096757,COLEGIO MUNICIPAL TERESINHA P DE QUEIROZ
26096773,ESCOLA MUNICIPAL SANTA TERESA
26096790,GRUPO MUNICIPAL JOAO VICENTE DE QUEIROZ
26140594,ESCOLA MUNICIPAL RURAL
26140608,ESCOLA MUNICIPAL RURAL
26140624,ESCOLA SAO MIGUEL
26140985,EDUCANDARIO IMACULADA CONCEICAO
26143933,ESCOLA MUNICIPAL SANTA JOANA
26145650,INSTITUTO EDUCACIONAL LAISA MIRELLE
26145782,ESCOLA MUNICIPAL BEATRIZ RIBEIRO
26149710,ESCOLA MUNICIPAL JONAS THOMPSON
26149729,CENTRO DE REABILITACAO ARISTIDES BEZERRA
26158035,ESCOLA MUNICIPAL RURAL DOIS BRACOS
26167263,ESCOLA MUNICIPAL MARIA DO CARMO ALVES VENTURA
26168995,ESCOLA MUNICIPAL MARIA JOSE MASSENA MATIAS
26181240,ESCOLA MUNICIPAL PROFª GENI MARIA DA SILVA
26186373,CENTRO EDUCACIONAL AVANCAR
26187990,COLEGIO MUNICIPAL PROFESSOR AMARO MATIAS
26211807,CENTRO EDUCACIONAL PROFESSORA EMMANUELA FIGUEREDO
