CO_ENTIDADE,NO_ENTIDADE
27008401,ESCOLA MUNICIPAL DE EDUCACAO BASICA JOAO DA SILVA MAIA
27008711,ESCOLA MUNICIPAL DE EDUCACAO BASICA MANOEL VIEIRA DA SILVA
27008819,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL SAGRADO CORACAO DE JESUS
27008827,ESCOLA ESTADUAL DE RIACHO GRANDE
27008843,ESCOLA MUNICIPAL DE EDUCACAO BASICA 19 DE NOVEMBRO
27008932,ESCOLA MUNICIPAL DE EDUCACAO BASICA EMIDIO JANUARIO DE MELO
27009017,ESCOLA MUNICIPAL DE EDUCACAO BASICA PRUDENTE DE MORAES
27009050,ESCOLA MUNICIPAL DE EDUCACAO BASICA MAJOR PEDRO AQUINO
27009076,ESCOLA MUNICIPAL DE EDUCACAO BASICA PRESIDENTE DUTRA
27009084,ESCOLA MUNICIPAL DE EDUCACAO BASICA NOSSA SENHORA DO LIVRAMENTO
27009106,ESCOLA MUNICIPAL DE EDUCACAO BASICA AMAURILIO FERREIRA LIMA
27009114,ESCOLA MUNICIPAL DE EDUCACAO BASICA JOAO BATISTA DA SILVA
27009122,ESCOLA MUNICIPAL DE EDUCACAO BASICA MARIA DE JESUS VIEIRA DE CARVALHO
27009149,ESCOLA MUNICIPAL DE EDUCACAO BASICA MARTINS FERREIRA LIMA
27009173,ESCOLA MUNICIPAL DE EDUCACAO BASICA VEREADOR FERNANDO NEPOMUCENO
27050769,CENTRO MUNICIPAL DE ENSINO INFANTIL PROFESSORA LEONORA DA CONCEICAO
27053849,CENTRO MUNICIPAL DE EDUCACAO INFANTIL NOSSA SENHORA DA CONCEICAO
27054390,CENTRO EDUCACIONAL INFANTIL PROFESSORA VILMA VIEIRA DE MELO
27214125,ESCOLA MUNICIPAL DE EDUCACAO BASICA GOVERNADOR DIVALDO SURUAGY
27221806,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL VIVER E APRENDER
27223744,ESCOLA MUNICIPAL DE EDUCACAO BASICA ENIO RICARDO GOMES
27348016,ESCOLA MUNICIPAL DE EDUCACAO BASICA JOSE FERREIRA LIMA
27349012,ESCOLA MUNICIPAL DE EDUCACAO BASICA ENIO RICARDO GOMES
