CO_ENTIDADE,NO_ENTIDADE
26059754,ESCOLA MUNICIPAL ALZIRA PEREIRA DE LIMA
26059789,ESCOLA DE REFERENCIA EM ENSINO MEDIO COMENDADOR MANOEL CAETANO DE BRITO
26059797,ESCOLA MUNICIPAL GETULIO VARGAS
26059800,ESCOLA MUNICIPAL JOAO MARTINS
26059851,ESCOLA MUNICIPAL JOSE MEDEIROS CORREIA
26059860,ESCOLA MUNICIPAL MARIA EPIFANIA DE MELO
26059878,ESCOLA MUNICIPAL MONSENHOR ESTANISLAU FERREIRA DE CARVALHO
26059894,ESCOLA MUNICIPAL SAO JOSE
26059908,ESCOLA OLIMPIO ARGEMIRO DE SOUZA
26059916,ESCOLA OSCARINA CAVALCANTI
26059924,ESCOLA MUL PEDRO IBIAPINO DA SILVA
26060027,ESCOLA MUNICIPAL AMARO RODRIGUES
26060035,CRECHE MUNICIPAL DEDE LOLA
26060078,ESCOLA MUNICIPAL SANTA CLARA
26060116,ESCOLA SAO JOAO BATISTA
26135637,ESCOLA MUL ALZIRA MERGULHAO BESERRA
26135640,ESCOLA MUL ADELAIDE DE OLIVEIRA SILVA
26183757,CENTRO DE EDUCACAO FREI HENRIQUE BROKER
