CO_ENTIDADE,NO_ENTIDADE
24006777,EDUCANDARIO DIX SEPTIENSE
24006793,EE ARNAUD TARGINO ENS DE 1 GRAU
24006815,ESCOLA ESTADUAL JERONIMO ROSADO
24006823,ESCOLA ESTADUAL MANOEL JOAQUIM
24006874,E ISOLADA JOAO EVANGELISTA DE OLIVEIRA
24006890,ESCOLA ISOLADA LIBERATO LOPES
24006904,E ISOLADA PE FLORENCIO DE FREITAS
24006920,E ISOLADA SANTANA
24006947,EM ADALBERTO GOMES DO VALE
24006955,EM ANTONIO MARTINHO DE MEDEIROS
24006963,ESCOLA MUNICIPAL ANTONIA LOPES E ALVES
24007005,EM LUIZA MARIA AUGUSTA
24007013,EM ISAURA ROSADO
24007021,EM JOAO CARLOS DE MENEZES
24007056,EM MANOEL MARIA DE MACEDO
24007064,EM MARIA BATISTA DE OLIVEIRA
24007072,EM FRANCISCO QUEIROZ PORTO
24007102,INSTITUTO MENINO JESUS
24007110,CENTRO MUNICIPAL DE EDUCACAO INFANTIL PROFESSORA RAIMUNDA SOARES DE FREITAS
24063860,ESCOLA PROF JOAO CARLOS DE OLIVEIRA
24071242,CRECHE MUNICIPAL PROFESSORA MARIA GLAUCIA COSTA DO VALE
