CO_ENTIDADE,NO_ENTIDADE
26037513,ESCOLA MUNICIPAL PADRE JOSE DE ANCHIETA
26037530,ESCOLA MUNICIPAL NOSSA SENHORA AUXILIADORA
26037572,ESCOLA MUNICIPAL OURO VERDE
26037700,ESCOLA SANTA MARIA
26037726,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO ANTONIO DE AMORIM COELHO
26037742,ESCOLA ARCO IRIS
26037823,ESCOLA MUNICIPAL ILHA DO PONTAL
26037920,ESCOLA PROFESSORA PALMIRA DE SOUZA
26038234,ESCOLA MUNICIPAL HERMENEGILDA MARIA DE CARVALHO
26038242,ESCOLA MUNICIPAL GORGITO PEREIRA MIRANDA
26038382,ESCOLA PEDRO ALVARES CABRAL
26038412,ESCOLA MUNICIPAL PROFESSORA AGUIDA PEREIRA BORGES
26038420,ESCOLA MUNICIPAL SANCHO PEREIRA
26038455,ESCOLA TARCILA ARAUJO
26038510,ESCOLA MUNICIPAL PROFESSOR JOSE ARNALDO DA SILVA
26133842,EDUCANDARIO CICERO REGO
26139073,COLEGIO INACIA RITA
26139375,EDUCANDARIO AYRTON SENNA DA SILVA
26154595,ESCOLA MUNICIPAL HELIO FERREIRA MAIA
26155559,ESCOLA DE REFERENCIA EM ENSINO MEDIO DOM HELDER CAMARA
26155567,ESCOLA PROFESSORA JOSEFINA GOMES ARAUJO
26180030,EDUCANDARIO GOTA DE OURO
26183080,CENTRO DE ENSINO TECNICO SANTA LUZIA
26183617,CENTRO EDUCACIONAL LAPIS NA MAO
26184087,CENTRO DE EDUCACAO INFANTIL PROFESSORA NILZA RAMOS COELHO DOS SANTOS
26184095,CENTRO MUNICIPAL DE EDUCACAO INFANTIL DRª ZILDA ARNS NEUMANN
26184320,CENTRO INFANTIL PROFESSORA MARIA LUZIMAR DA SILVA BARBOSA
26186047,ESCOLA MUNICIPAL GOVERNADOR EDUARDO HENRIQUE ACCIOLY CAMPOS
26322617,CENTRO MUNICIPAL DE EDUCACAO INFANTIL SABERES
