CO_ENTIDADE,NO_ENTIDADE
26037254,COLEGIO FENIX
26037262,ESCOLA TREZE DE MAIO
26037270,ESCOLA ARAUJO JORGE
26037289,ESCOLA AFONSO ALVES DA SILVA
26037378,ESCOLA ESTANISLAU MEDRADO
26037386,ESCOLA FELINTO MULLER
26037424,ESCOLA MADRE MARIA DA CRUZ
26037432,ESCOLA ALEXANDRE OLIVEIRA DA COSTA
26037459,ESCOLA MARTINIANO PEREIRA BRANDAO
26037521,ESCOLA MUNICIPAL GERCINO DE PONTES
26037548,ESCOLA NOSSA SENHORA DE FATIMA
26037556,ESCOLA MUNICIPAL NOSSA SENHORA DE LOURDES
26037599,ESCOLA PROFESSORA JUDITH GOMES DE BARROS
26037610,ESCOLA MUNICIPAL CAITITU
26037637,ESCOLA JABUTI
26037645,ESCOLA NAMBU
26037653,ESCOLA PROFESSOR AGAMENON MAGALHAES
26037750,ESCOLA MUNICIPAL CATALUNHA
26037785,ESCOLA DR ANDRE SAMPAIO
26037815,ESCOLA MUNICIPAL GABRIELA PERSICO
26037831,ESCOLA MARIA CLAUDEMIRA TELES
26037840,ESCOLA MARIA DA PURIFICACAO BARROS
26037904,ESCOLA DE REFERENCIA EM ENSINO MEDIO PADRE MAURILO SAMPAIO
26037955,ESCOLA PROFESSORA CREUZA DOS S DE OLIVEIRA
26037963,ESCOLA PROFESSOR CASSIMIRO LUCAS
26037971,ESCOLA MUNICIPAL GRAUNA
26038021,ESCOLA COROA DE FRADE
26038048,ESCOLA MUNICIPAL PALMA
26038056,ESCOLA JANDAIA
26038064,ESCOLA MUNICIPAL JURITI
26038080,ESCOLA MUNICIPAL PUNARE
26038099,ESCOLA MUNICIPAL SERIEMA
26038102,ESCOLAS SERRA DAS ARARAS
26038129,ESCOLA MUNICIPAL SURUBIM
26038137,ESCOLA MUNICIPAL TEJU
26038145,ESCOLA TRES POTES
26038153,ESCOLA MUNICIPAL ALGAROBA
26038200,COLEGIO NOBRE
26038277,ESCOLA DARIO VIANA
26038480,ESCOLA JOSE GOMES GUIMARAES
26038528,ESCOLA MUNICIPAL SERRA DA SERIEMA
26133873,ESCOLA MUNICIPAL FRANCESCO MAURO
26133956,ESCOLA MUNICIPAL SERRA NEGRA
26140136,ESCOLA MUNICIPAL RAIZES
26140144,ESCOLA DE REFERENCIA EM ENSINO MEDIO PAU BRASIL
26140152,ESCOLA MUNICIPAL ASA BRANCA
26141949,ESCOLA MUNICIPAL ANTONIO CONSELHEIRO
26141981,ESCOLA MUNICIPAL MARCOS FREIRE
26142490,ESPACO EDUCACIONAL - DAP
26151367,CRECHE MAE QUININHA
26151685,ESCOLA PREFEITO BARRINHO
26156350,COLEGIO PARAISO
26156415,ESCOLINHA ESPACO LIVRE
26172682,COLEGIO VISAO
26177986,ESCOLA MUNICIPAL NOE GOMES DE BARROS
26179997,ESCOLA DE REFERENCIA EM ENSINO MEDIO PROFESSORA EDITE MATOS
26180413,ESCOLA MUNICIPAL CHICO MENDES
26183897,IF SERTAO-PE - CAMPUS SANTA MARIA DA BOA VISTA
26185911,COLEGIO JOSIVAN SILVA
26190427,CENTRO DE ENSINO TECNICO SANTA LUZIA EIRELI - ME
26435748,CENTRO MUNICIPAL DE EDUCACAO INFANTIL MANDACARU
