CO_ENTIDADE,NO_ENTIDADE
26026899,EDUCANDARIO CORONEL ANGELO GOMES LIMA
26026902,ESCOLA APOLONIO ALVES DA SILVA
26026910,ESCOLA CICERO AUGUSTO GOMES
26026937,ESCOLA MUNICIPAL ANGELO VARELA DE ALBUQUERQUE
26026945,ESCOLA MUNICIPAL ANTONIO ALVES
26026953,ESCOLA MUNICIPAL ENGENHEIRO BIANOR LEITE FEITOSA
26026970,ESCOLA MUNICIPAL CLARA MARIA DA CONCEICAO
26027011,ESCOLA MUNICIPAL FELICIANO MARIANO BEZERRA
26027100,ESCOLA MUNICIPAL MAJOR ANTONIO FEITOSA LIMA
26027119,ESCOLA MUNICIPAL MANOEL CARLOS LINS
26027127,ESCOLA MUNICIPAL MANOEL INACIO DE ANDRADE
26027151,ESCOLA MUNICIPAL MARECHAL HUMBERTO DE ALENCAR CASTELO BRANCO
26027160,ESCOLA MUNICIPAL TEREZINHA VIEIRA BEZERRA
26027186,ESCOLA INDIGENA PEDRO FERREIRA DE QUEIROZ
26027232,ESCOLA ESTADUAL INDIGENA SAO FRANCISCO DE ASSIS
26027356,ESCOLA MUNICIPAL GERALDO BEZERRA DOS SANTOS
26027488,ESCOLA JOAQUIM GUEDES CORREIA GONDIM NETO
26027496,ESCOLA MUNICIPAL SIMAO IZIDIO DE SOUZA
26027518,ESCOLA MUNICIPAL PROFESSORA MARIA DOS ANJOS BANDEIRA
26027526,ESCOLA MUNICIPAL PIERRE DE SIQUEIRA
26027550,ESCOLA MUNICIPAL PROFESSORA RITA GOMES LIMA
26027577,ESCOLA ROZENO VIEIRA
26027615,ESCOLA IRACEMA MOURA DE MORAES VERAS
26027658,ESCOLA ESTADUAL INDIGENA FIRMINO LARANJEIRA
26027828,ESCOLA DE REFERENCIA EM ENSINO MEDIO PEDRO BEZERRA DE MELO
26027836,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL INOCENCIO CORREIA LIMA
26146584,ESCOLA MUNICIPAL LUIZA ALBUQUERQUE MARANHAO
26164434,ESCOLA FERNANDA IZAUTA DA SILVA
26179962,ESCOLA MUNICIPAL SAO FRANCISCO DE ASSIS
26181690,ESCOLA MUNICIPAL MARIA ALVES DE QUEIROZ
26184125,SERVICO DE TECNOLOGIA ALTERNATIVA
26187493,CRECHE MUNICIPAL NICOLAS GUSTAVO MAGALHAES GOMES NOGUEIRA
