CO_ENTIDADE,NO_ENTIDADE
27042952,ESCOLA AGRICOLA SAO FRANCISCO DE ASSIS
27042979,ESCOLA MUNICIPAL DE EDUCACAO BASICA NOSSA SENHORA DIVINA PASTORA
27043029,ESCOLA MUNICIPAL DE EDUCACAO BASICA PEDRO PEREIRA DA SILVA
27043045,ESCOLA MUNICIPAL DE EDUCACAO BASICA VEREADOR ANTONIO TEMOTEO DA SILVA
27043061,ESCOLA MUNICIPAL DE EDUCACAO BASICA CLEMENTINO T DE MEDEIROS
27043118,ESCOLA MUNICIPAL DE EDUCACAO BASICA JOAO LUIZ DE ALMEIDA
27043134,ESCOLA MUNICIPAL DE EDUCACAO BASICA JOSE NUNES DA SILVA
27043177,ESCOLA MUNICIPAL DE EDUCACAO BASICA MARIA DAS MERCES CAVALCANTE DE ALMEIDA
27043207,ESCOLA MUNICIPAL MONICA ROSA DE JESUS
27043223,ESCOLA MUNICIPAL DE EDUCACAO BASICA NOSSA SRA DA PAZ
27043231,ESCOLA MUNICIPAL DE EDUCACAO BASICA NOSSA SRA DE FATIMA
27043240,ESCOLA MUNICIPAL DE EDUCACAO BASICA DEPUTADO OCEANO CARLEAL
27043258,ESCOLA MUNICIPAL DE EDUCACAO BASICA PADRE MANOEL VIEIRA
27043290,ESCOLA MUNICIPAL DE EDUCACAO BASICA PROFESSOR GERALDO TEMOTEO DOS SANTOS
27043304,ESCOLA MUNICIPAL DE EDUCACAO BASICA RUI BARBOSA
27043312,ESCOLA MUNICIPAL DE EDUCACAO BASICA SAO BENEDITO
27043339,ESCOLA MUNICIPAL DE EDUCACAO BASICA RUI PALMEIRA
27043347,ESCOLA MUNICIPAL DE EDUCACAO BASICA SEMEAO NUNES DA SILVA
27043355,ESCOLA MUNICIPAL DE EDUCACAO BASICA PROFESSORA SINHA BARBOSA
27043371,ESCOLA MUNICIPAL DE EDUCACAO BASICA DEPUTADO TARCISIO DE JESUS
27043428,CENTRO EDUCACIONAL MUNICIPAL DE EDUCACAO INFANTIL MONTEIRO LOBATO
27043436,ESCOLA ESTADUAL PADRE AURELIO GOIS
27051790,CENTRO EDUCACIONAL MUNICIPAL DE EDUCACAO INFANTIL PROFESSOR RONIVON FIRMINO DA SILVA
27054209,CENTRO DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO - CAEE
27054489,ESCOLA ESTADUAL DE EDUCACAO INTEGRAL MARIA LIEGE DE ALBUQUERQUE TAVARES
27055078,CENTRO EDUCACIONAL MUNICIPAL DE EDUCACAO INFANTIL VOVO DORA
27215148,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL PROFESSORA MARIA DO CARMO COSTA
27215261,ESCOLA MUNICIPAL DE EDUCACAO BASICA JOAO FERREIRA DA SILVA
27215393,ESCOLA MUNICIPAL DE EDUCACAO BASICA JOSE APOLONIO DE JESUS
27215440,ESCOLA MUNICIPAL DE EDUCACAO BASICA ESTUDANTE ANTONIO DE JESUS
27215504,ESCOLA MUNICIPAL DE EDUCACAO BASICA SANTO ANTONIO
27217060,CENTRO EDUCACIONAL MUNICIPAL CASINHA FELIZ
27217078,CENTRO EDUCACIONAL MUNICIPAL DE EDUCACAO INFANTIL VOVO NOEMIA
27221458,ESCOLA DE EDUCACAO BASICA FRANCISCO DE JESUS
27365018,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL DIVINA LUZ
