CO_ENTIDADE,NO_ENTIDADE
24047570,ESC EST ALEXANDRE MANOEL ENS DE 1 GRAU
24047589,ESCOLA ESTADUAL ANTONIO DE OLIVEIRA FAGUNDES
24047597,ESC MUL ANTONIO DE O FAGUNDES
24047600,ESC MUL ANTONIO FRANCISCO AMANCIO
24047619,ESC MUL FRANCISCO MAIA
24047635,ESCOLA MUNICIPAL JOSE MARCELINO DE SOUZA
24047643,ESC MUNICIPAL MANOEL ADELINO
24047651,ESC MUL MANOEL FERREIRA DE LIMA
24047660,ESCOLA MUNICIPAL MINISTRO JARBAS PASSARINHO
24047678,ESCOLA MUNICIPAL SALUSTIANO FAGUNDES
24066915,CRECHE MUNICIPAL MENINO JESUS
24071340,PRE - ESCOLA MUNICIPAL MARIA ADILIA
24348309,ESC MUL JOANA NICOLAU DE LIMA
24352306,SERVICOS DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS
