CO_ENTIDADE,NO_ENTIDADE
25017934,COLEGIO MONTEIRO LOBATO LTDA
25017969,CRECHE LEOPOLDINA GONCALVES RIBEIRO
25017993,CRECHE SAO FRANCISCO DE ASSIS
25018027,IFPB - CAMPUS SOUSA
25018043,ESCOLA DE EDUCACAO INFANTIL BEM ME QUER
25018060,EEEFM IZIDRA PACIFICO DE ARAUJO
25018078,EEEF ANDRE GADELHA
25018124,EEEF BATISTA LEITE
25018132,EEEF BENTO FREIRE
25018140,EEEFM CELSO MARIZ
25018183,EEEFM ESTEVAM MARINHO
25018191,EEEFM FRANCISCO CICERO SOBRINHO
25018221,EEEF CONEGO JOAO CARTAXO ROLIM
25018256,EEEF DE DEMONSTRACAO DE SOUSA
25018264,EEEFM JAIME MEIRA FONTES
25018272,EEEFM PROF DIONE DINIZ OLIVEIRA DIAS
25018280,ECI MESTRE JULIO SARMENTO
25018388,ESCOLA JOSE DE PAIVA GADELHA SESI
25018400,EMEF MARIA AURITA DA SILVA
25018442,EMEF MARIA MERCEDES MARIZ
25018450,EMEF HENRIQUE GOMES
25018485,EMEFM MARIA ESTRELA DE OLIVEIRA
25018493,EMEF DEGMA LUCIA
25018507,EMEF MARIA RAQUEL PINTO GADELHA
25018531,EMEIF FRANCISCO GARCIA DA SILVA
25018582,ENE JOSE DE PAIVA GADELHA
25018590,EMEIEF PAPA PAULO VI
25018639,EEEF DR THOMAZ PIRES
25018698,EMEIF JOAO MARQUES DE SOUSA
25018744,CENTRO DE EDUCACAO ESPECIAL INTEGRADA GENY FERREIRA
25018850,EMEF JOAO ANTONIO DA SILVA
25018965,EMEF ALEXANDRE FRANCISCO AMERICO
25018990,EMEF BATISTA GAMBARRA
25019015,EMEF FRANCISCO ANTONIO DO NASCIMENTO
25019066,EMEFM JOSE REIS
25019074,EMEF MARIA MARQUES DE SOUSA
25019090,EMEF OTACILIO GOMES DE SA
25019120,EMEF ROMULO PIRES
25019147,EMEF SINHA GADELHA
25019155,EMEF TOZINHO GADELHA
25019201,COLEGIO NOSSA SRA AUXILIADORA
25019228,EEEFM ANTONIO TEODORO NETO
25019295,EMEF JOSE ALEXANDRE NASCIMENTO
25019317,EMEF JOSE TEOFILO DOS SANTOS
25019325,EMEF FRANCISCA DE SOUSA SA
25019546,EMEF SALOMAO PEREIRA GADELHA
25019805,EMEF CICERO INACIO DE OLIVEIRA
25101579,ACAO COLEGIO E CURSO
25107208,EMEF CLOTARIO DE PAIVA GADELHA
25111418,EMEF IRMA MARIA IRAIDES HOLANDA LAVOR
25111728,EMEF JOAO BATISTA DO NASCIMENTO
25124978,COLEGIO CONSTRUINDO VALORES
25125427,COLEGIO CRESCENDO E APRENDENDO
25125745,INSTITUTO TECNOLOGICO DA PARAIBA LTDA - ITEC PB
25126148,ESCOLINHA SONHO DE CRIANCA LTDA
25126440,SESC LER SOUSA SERVICO SOCIAL DO COMERCIO
25129511,SENAI - CENTRO DE FORMACAO PROFISSIONAL MIRIAM BENEVIDES GADELHA
25130013,EMEIEF ANTONIO PEREIRA DA SILVA
25130048,CRECHE PROINFANCIA IDELZUITE PIRES DE SA
25130242,ECIT ESTADUAL CHIQUINHO CARTAXO
25130846,EEEF RENE ALVES RAMALHO
25132270,CRECHE PROINFANCIA JOSE MARIA DA SILVEIRA
25132288,CRECHE ENILDE GUEDES
25132431,EEIF FORMANDO DO SABER LIMITADA
25273922,ESCOLA DE EDUCACAO INFANTIL SAO VICENTE DE PAULA LTDA
