CO_ENTIDADE,NO_ENTIDADE
25064061,COLEGIO SANTA RITA
25064088,CRECHE PRE ESCOLAR CORINA BARRETO DE B LIRA
25064096,CRECHE EZILDA MILANEZ
25064118,EMEF VER NELSON CARNEIRO
25064126,EEEIEFM CARLOTA BARREIRA
25064134,ECIT MINISTRO JOSE AMERICO DE ALMEIDA
25064142,EEEF ALVARO MACHADO
25064169,EEEF MONS JOAO COUTINHO
25064193,ESC MUL PEDRO HONORIO
25064266,COLEGIO RISCO E RABISCO
25064274,EEIEF PINOQUIO
25064410,EMEF JOSE LINS SOBRINHO
25064428,ESC MUL JOSE RODRIGUES
25064444,EMEF JULIA VERONICA DOS SANTOS LEAL
25064460,EMEF MARIA EMILIA MARACAJA
25064541,EMEF NENEN SILVA
25064711,CRECHE EPHIGENIO BARBOSA
25064720,CRECHE JOSE ALVES DO NASCIMENTO
25064762,CRECHE ANDRE RICARDO PERAZZO DA COSTA
25064789,EMEF JOAO CESAR
25106694,EMEF PROFESSOR ABEL BARBOSA DA SILVA
25114328,EMEF MADRE TRAUTLINDE
25118811,CRECHE E PRE ESCOLA DONA DINA
25120344,EMEF DR JOSE INACIO DE MIRANDA PEREIRA
25120891,SISTEMA EDUCACIONAL AREIENSE
25122860,ESCOLA INFANTIL TRACOS E LETRAS
25123300,ESC DE EDUC ESPECIAL CAMINHO DA ESPERANCA-APAE
25130544,IFPB - CAMPUS AVANCADO AREIA
25132539,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL LUCIA GIOVANNA DUARTE DE MELO
