CO_ENTIDADE,NO_ENTIDADE
27013880,CENTRO DE EDUCAC DE JOVENS E ADULTOS REMY MAIA
27013901,CENTRO EDUCACIONAL CRISTO REDENTOR
27013910,ESCOLA MUNICIPAL PROFª DOUTORA CELIA MARGARIDA
27013928,ESCOLA ESTADUAL HUMBERTO MENDES
27013936,ESCOLA MUNICIPAL MARCELLA SONNEMANS
27013944,ESCOLA ESTADUAL INDIGENA MATA DA CAFURNA
27013979,ESCOLA ESTADUAL JOSE VICTORINO DA ROCHA
27013995,ESCOLA ESTADUAL ANTONIA MACEDO
27014002,ESCOLA ESTADUAL DJANIRA SANTOS SILVA
27014010,ESCOLA ESTADUAL EGIDIO BARBOSA DA SILVA
27014029,ESCOLA ESTADUAL GRACILIANO RAMOS
27014037,ESCOLA ESTADUAL MANOEL PASSOS LIMA
27014070,ESCOLA DE 1º GRAU PROFª MARINETE NEVES
27014088,ESCOLA ESTADUAL ESTADO DE NOVA JERSEY
27014096,ESCOLA ESTADUAL DA MACONARIA
27014304,ESCOLA MUNICIPAL IRMA BERNADETE
27014410,ESCOLA MUNICIPAL MANOEL MACHADO FERRO
27014517,ESCOLA MUNICIPAL PRFª MARY SAMPAIO CAPARICA
27014525,ESCOLA MUNICIPAL PROFª VERA LUCIA GAMA MOURA
27014606,ESCOLA ESTADUAL INDIGENA PAJE MIGUEL SELESTINO DA SILVA
27014649,ESCOLA MUNICIPAL SIDRAQUE NONATO DE ALMEIDA
27014665,ESCOLA MUNICIPAL SANTA TEREZINHA
27014673,COLEGIO PAULO FREIRE
27014738,ESCOLA MUNICIPAL BELARMINO TEXEIRA CAVALCANTE
27014746,ESCOLA MUNICIPAL DR GERSON JATOBA LEITE
27014789,ESCOLA MUNICIPAL LUDUGERIO AMANCIO DA SILVA
27014819,ESCOLA MUNICIPAL PROFESSORA ROSINHA PIMENTEL
27014827,ESCOLA MUNICIPAL VEREADOR ELOI BARBOSA
27014860,ESCOLA MUNICIPAL DEPUTADO JOSE SAMPAIO
27014878,ESCOLA MUNICIPAL PEDRO RODRIGUES GAIA
27014886,ESCOLA MUNICIPAL NADIR DE CASTRO ARAUJO
27014908,COLEGIO SUPERACAO
27014932,ESCOLA ESTADUAL MONSENHOR RIBEIRO VIEIRA
27014940,COLEGIO DIOCESANO SAGRADA FAMILIA
27014959,ESCOLA ESTADUAL ALMEIDA CAVALCANTI
27014975,ESCOLA MUNICIPAL ANTONIO FERNANDES DA COSTA
27014983,ESCOLA MUNICIPAL FRANCISCO PINTO PIMENTEL
27015068,ESCOLA ESTADUAL MONSENHOR MACEDO
27015076,MOVIMENTO PRO DESENV COMUM - ESCOLA OASIS
27015084,CENTRO DE EDUC INF PROF DR JOSE DELFIN DA M BRANCO
27046338,ESCOLA ESTADUAL INDIGENA XUKURU KARIRI YAPI LEANAWAN
27046451,ESCOLA INCENTIVO A APRENDIZAGEM
27046460,INSTITUTO EDUCACIONAL EVOLUCAO
27049183,ESCOLA MUNICIPAL PROFESSOR DOUGLAS APRATTO TENORIO
27049345,CEI MARIA DO CARMO SAMPAIO CAPARICA
27049566,CEI LEOBINO SOARES DA MOTTA
27049710,EM PROFª ELZA BARBOSA DA SILVA
27049892,ESCOLA SANTA CECILIA
27050076,CENTRO DE EDUCACAO INFANTIL BENEDITO JOSE SOARES
27050130,CENTRO DE EDUCACAO INFANTIL PROFESSORA JANE SAMPAIO CALADO MONTEIRO
27052974,ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS - APAE PALMEIRA DOS INDIOS
27053342,INSTITUTO EDUCACIONAL EXITO
27053660,COLEGIO POSITIVO MAIS
27053822,CENTRO DE EDUCACAO INFANTIL IRENE CAVALCANTE FARIAS
27053830,ESCOLA MUNICIPAL MAURO TAVARES DA SILVA
27053911,ESCOLA MUNICIPAL OLIVIA PEREIRA DE MELO
27053920,ESCOLA MUNICIPAL MARCELO MINERVO DOS SANTOS PIMENTEL
27054110,INSTITUTO SUPERAR
27055230,CENTRO DE EDUCACAO INFANTIL PROFESSOR MANUEL AZARIAS DE OLIVEIRA
27215830,IFAL - CAMPUS PALMEIRA DOS INDIOS
27219240,ESCOLA MUNICIPAL ANTONIO BARBOSA LEITE
27219275,ESCOLA MUNICIPAL HILTOM MUNIZ DE ALMEIDA
27220915,ESCOLA DE 1º GRAU COELHINHO DA PAZ
27220923,COMPLEXO EDUCACIONAL AGOSTINIANO
27224287,CENTRO DE ENS PROFISSIONALIZANTE DE ALAGOAS LTDA
27226336,ESCOLA ESTADUAL INDIGENA JOSE GOMES CELESTINO
27226638,ESCOLA INDIGENA CACIQUE ALFREDO CELESTINO
27226794,ESCOLA ESTADUAL INDIGENA BALBINO FERREIRA
27251004,ESCOLA DE ENSINO FUNDAMENTAL SANTA MARIA
27360032,ESCOLA DE EDUCACAO BASICA CRIANCA ESPERANCA
