CO_ENTIDADE,NO_ENTIDADE
25065513,ECIT EFIGENIO LEITE
25065521,EMEF JOSE AMANCIO RAMALHO
25065556,ESC MUL LEONOR RAMALHO
25065572,ESC MUL SOLON DE LUCENA
25065580,EMEF EDITH RODRIGUES LEITE
25065599,CRECHE CASULO LIVRAMENTO RAMALHO
25065602,ESC MUL RAFAEL DA COSTA MARANHAO
25065670,EMEF JALDETE GUEDES PEREIRA
25065688,ESC MUL PEDRO MATIAS DOS SANTOS
25115332,EMEF FRANCISCO CARDOSO DA SILVA
25119931,ESCOLA IDEAL LTDA
25121421,REFORCO ESCOLAR CAMINHO DO FUTURO
25125869,EDUCANDARIO BASTOS
25133535,INSTITUTO PAI E FILHA
