CO_ENTIDADE,NO_ENTIDADE
27028038,UNIDADE ESCOLAR SEBASTIAO GOMES
27028178,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL NOSSA SENHORA DA CONCEICAO
27028186,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL PROFESSORA LEONOR CARVALHO MARINHO
27028194,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL MARIA DA GLORIA DUARTE DE OMENA
27028232,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL MARCOS AURELIO LINS PINHEIRO
27028275,UNIDADE ESCOLAR EGBERTO UCHOA DE OMENA
27028305,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL DR JARBAS MAYA DE OMENA
27028313,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL JOAO CORDEIRO SOUZA JUNIOR
27028330,UNIDADE ESCOLAR MANOEL FRAGOSO DE MELO
27028356,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL SAO BENEDITO
27028364,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL MARIA DAS MERCES GOMES FRAGOSO
27048829,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL RIO BONITO
27051897,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL SENADOR BENEDITO DE LIRA
27214257,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL ANTONIA CAVALCANTE DE ALMEIDA
27214354,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL DELCIO VERCOSA DE AMORIM
27219194,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL FLORA CAVALCANTE
27221075,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GUILHERME CALHEIROS
27224430,CRECHE MUNICIPAL EUCLIDES MARINHO MAGALHAES
