CO_ENTIDADE,NO_ENTIDADE
25056603,CRECHE GERUSA DANTAS
25056611,EEEF DEP JOSE PEREIRA
25056620,ECI EEFM JOSE ROLDERICK DE OLIVEIRA
25056654,EMEF DELANE SANTOS
25056662,EMEF MARIA ELENILDA BATISTA DANTAS
25056689,EMEF ANTONIO ERNESTO DOS SANTOS
25056697,EMEF ENG SEBASTIAO ERNESTO DOS SANTOS
25056700,EMEF PRES HUMBERTO DE A CASTELO BRANCO
25056719,EMEF PROF LUIS ALVES DUARTE
25056727,EMEF PROFA JULIETA DE LIMA E COSTA
25056735,EMEF PAPA PAULO VI
25056751,EMEF HERMINIA MARIA DOS SANTOS
25056760,EMEF SENADOR RUI CARNEIRO
25111647,EDUCANDARIO CAMINHO DO SABER
25112546,EMEF HILBA MARINHO DA COSTA
25123327,CRECHE MUNICIPAL ADALIA BEZERRA DE OLIVEIRA
25132997,INSTITUTO EDUCACIONAL SANDRA MARIA BEZERRA
