CO_ENTIDADE,NO_ENTIDADE
24011894,EM DE 1 E 2 GRAUS FCO DE ASSIS DE SOUZA
24011924,ESCOLA MUNICIPAL IMACULADA CONCEICAO
24011940,EM ANTONIO JOAQUIM DE MEDEIROS
24011959,EM ANTONIO PINHEIRO FILHO
24011967,EM ARGEMIRO AVELINO DE BRITO
24011983,EM CEL JOSE BEZERRA DE ARAUJO
24011991,EM CEL JOSE S FILGUEIRA SOBRINHO
24012009,EM FRANCISCO CAVALCANTE
24012017,EM FRANCISCO PINHEIRO DA SILVA
24012033,EM JOAO PEDRO DA FONSECA
24012068,EM JOSE BERNARDINO DE MACEDO
24012084,EM LUIZ BATISTA DA CUNHA
24012092,EM LUIZ ETELVINO PINHEIRO
24012106,EM MANOEL JOAQUIM BARBOSA
24012122,EM SILVERIO BARROS CABRAL
24012149,ESCOLA MUNICIPAL CORONEL LUIZ DE BARROS
24012157,EM JOAO BATISTA DE MEDEIROS
24012165,EM JOAQUIM MARQUES DA SILVA
24012173,E M MANOEL PINHEIRO FILHO
24082341,EM ALEXANDRE RODRIGUES DE MELO FILHO
24223204,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS
