CO_ENTIDADE,NO_ENTIDADE
25022040,CRECHE CASULO TUDINHA PEREIRA
25022091,GR ESC DIASSIS PEREIRA
25022121,EMEIEF MIGUEL VICENTE DE SOUSA
25022148,EMEIEF PAULINA PEREIRA DE SOUSA
25022156,EMEIEF SEVERINA PEREIRA DE QUEIROZ
25022172,EMEIEF FRANCISCO FELIX DE MENDONCA
25022180,EMEIEF CICERO SERAFIM TORRES
25022199,EMEIEF IOIO PEREIRA
25022202,EMEIEF JOSE BATISTA DE MORAIS
25022237,EMEIEF NOBELINO LEITE
25022245,EMEIEF PEDRO FAUSTINO CHAVES
25022253,EMEIEF PEDRO IZIDRO DA NOBREGA
25022261,EMEIEF RAIMUNDO PEREIRA DA SILVA
25116835,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL CICERO SULPINO DOS SANTOS
