CO_ENTIDADE,NO_ENTIDADE
26087863,CENTRO SOCIAL SANTA ANA
26087936,ESCOLA MANOEL PESSOA DE LUNA FILHO
26087944,ESCOLA MARECHAL RONDON
26087979,ESCOLA MUNICIPAL ERNESTO RIBEIRO
26087987,ESCOLA MUNICIPAL PROFESSOR EUCLIDES
26087995,ESCOLA MUNICIPAL SAO JOAQUIM
26088029,ESCOLA PAULA FRASSINETTI
26088118,CENTRO SOCIAL MADRE VIRGINIA
26088126,ESCOLA PUBLICA MUNICIPAL DE CARAMURU
26088142,ESCOLA MUNICIPAL MARIA ANUNCIADA PINHEIRO DIAS
26088150,ESCOLA MINIMA FLORESTINHA
26088185,ESCOLA MUNICIPAL DOUTOR IRINEU DE PONTES VIEIRA
26088207,ESCOLA MUNICIPAL BELA VISTA
26088215,ESCOLA MUNICIPAL ELIANE CARNEIRO LEAO DE MELO
26088223,ESCOLA MUNICIPAL PIO X
26088231,ESCOLA NOSSA SENHORA APARECIDA
26145952,PROGRAMA AMOR
26145960,ESCOLA MUNICIPAL JOAQUIM PINTO LAPA SOBRINHO
26158949,ESCOLA MUNICIPAL CHA DO MEIO
26172917,ESCOLA MUNICIPAL PROFESSORA SOFIA ADELINA DE SOUZA DA SILVA
26175592,ESCOLA MUNICIPAL NOVA SANTA CRUZ
26184443,CRECHE E PRE-ESCOLA MUNICIPAL ZITE DO CARMO LAPA
26192780,CRECHE MUNICIPAL PROINFANCIA BRENA RAYSA DA SILVA CRUZ
