CO_ENTIDADE,NO_ENTIDADE
25004972,EMEF CONEGO MANOEL JACOME
25005030,EMEF DE GRAVATA
25005189,EMEIEF FRANCISCO F DE SOUSA
25005197,EMEIEF JOCA ALVES
25005227,EMEIEF JOSE GONCALVES DA SILVA
25005502,EMEIEF JACOB GUILHERME FRANTZ
25005634,EMEIEF AUREA ALMEIDA BRAGA
25005642,EMEIEF FRANCISCA HERMINA DE JESUS
25005758,EMEIEF JOSE LUIZ DE SOUZA
25005804,EMEIEF AMELIA SOARES DE MORAIS
25005855,EMEIEF JOSE RODRIGUES DA SILVA
25102621,EMEF PROF FRASSINETE BERNARDO
25114565,EMEIEF MARIA VIEIRA DE SOUSA
25114654,EMEIEF FREI ANTONIO JOSE
25118439,EMEI PROFESSORA AURILIA BRECKENFELD DANTAS
25118447,EMEIEF DR JOSE DANTAS PINHEIRO
25122487,EMEIEF RAIMUNDO RODRIGUES DOS SANTOS
25128329,CRECHE MUNICIPAL ANTONIA CAVALCANTE ALEXANDRE BRECKENFELD
25133764,EMEI PROFESSORA MARIA FERNANDES DE SANTANA
25133934,CRECHE MUNICIPAL MARIA DE SOUSA PIRES
