CO_ENTIDADE,NO_ENTIDADE
25030736,EMEIFJOSE BERNARDINO DOS SANTOS
25030841,EMEF JOAQUIM GOMES DE MELO
25030876,EMEF JOSINO RICARTE DA SILVA
25030965,EMEF SANTA MONICA
25031082,EMEIF SEVERINO LEITE FERREIRA
25031244,EMEIF JUSTINA EMILIA CRIZANTO
25031252,EMEIF JOAQUIM MARTINS VIEIRA
25031260,EMEF JOSE RODRIGUES PITA
25031309,EMEIF SERAPIAO PINTO DE SOUSA
25031317,EMEIF MIGUEL ALVES DA SILVA
25031350,EMEIF JACINTA CHAVES PAULO
25105205,EMEIF EDITE FONSECA RODRIGUES
25119125,CRECHE COMUNITARIA PROMOTORA EDILMA LEITE CAVALCANTE OLIMPIO
25128230,CRECHE MARIA NOBREGA AGUIAR DE SA
25130994,EMEIF ANTONIO ZACARIAS DE SOUZA
