CO_ENTIDADE,NO_ENTIDADE
27017982,ESCOLA MUNICIPAL DE EDUCACAO BASICA JOSE APRIGIO DA SILVA
27017990,ESCOLA MUNICIPAL DE EDUCACAO BASICA ALONSO DE ABREU PEREIRA FILHO
27018032,ESCOLA MUNICIPAL DE EDUCACAO BASICA ANTONIO JOVINO DA SILVA
27018059,ESCOLA MUNICIPAL DE EDUCACAO BASICA PROFA HILDA MATEUS OLIVEIRA
27018083,ESCOLA MUNICIPAL DE EDUCACAO BASICA OLAVO BILAC
27018091,ESCOLA MUNICIPAL DE EDUCACAO BASICA EDVALDO CORREIA BARBOSA
27018105,ESCOLA MUNICIPAL DE EDUCACAO BASICA JORGE DE LIMA
27018121,ESCOLA MUNICIPAL DE EDUCACAO BASICA GRACILIANO RAMOS
27018156,ESCOLA MUNICIPAL DE EDUCACAO BASICA TENENTE CORONEL JOSE BARROS PAES
27018172,ESCOLA MUNICIPAL DE EDUCACAO BASICA PEDRO RAMOS FRANCISCO
27018199,ESCOLA MUNICIPAL DE EDUCACAO BASICA JOAO FRANCISCO DA SILVA
27018202,ESCOLA MUNICIPAL DE EDUCACAO BASICA DR JOSE PEREIRA MENDES
27018210,PADRE AFRANIO PINHEIRO BEZERRA
27018229,ESCOLA MUNICIPAL DE EDUCACAO BASICA VEREADOR ANTONIO VENTURA DE OLIVEIRA
27018237,ESCOLA MUNICIPAL DE EDUCACAO BASICA DELMIRO SOARES DA SILVA
27018245,ESCOLA MUNICIPAL DE EDUCACAO BASICA JOAO DOS SANTOS COSTA
27018270,ESCOLA MUNICIPAL DE EDUCACAO BASICA MANOEL NERES DOS SANTOS FILHO
27018288,ESCOLA MUNICIPAL DE EDUCACAO BASICA MARIA NUNES DA SILVA
27018296,ESCOLA MUNICIPAL DE EDUCACAO BASICA SAO SEBASTIAO
27018318,ESCOLA MUNICIPAL DE EDUCACAO BASICA FRANCISCO PAULINO DA SILVA
27018326,ESCOLA MUNICIPAL DE EDUCACAO BASICA MANOEL VIEIRA DA SILVA
27018334,ESCOLA MUNICIPAL DE EDUCACAO BASICA ODILON FRANCISCO LIMA
27018342,ESCOLA MUNICIPAL DE EDUCACAO BASICA PEDRO NUNES SOBRINHO
27053873,CENTRO DE EDUCACAO INFANTIL EMILIA MOREIRA DOS SANTOS
27054870,CMEI ALICE MARIA DE SOUZA
27224333,ESCOLA MUNICIPAL DE EDUCACAO BASICA ANA CAROLINA DE QUEIROZ
27226042,ESCOLA MUNICIPAL DE EDUCACAO BASICA PADRE JOSE THEISEN
27354016,CENTRO MUNICIPAL DE EDUCACAO INFANTIL ARLENE SIMPLICIO DOS SANTOS
