CO_ENTIDADE,NO_ENTIDADE
25087339,EMEF PEDRO CLAUDINO DA SILVA
25087363,EMEF ANTONIO FELIX
25087380,EMEF JOAO MAXIMINO
25087398,EMEF PEDRO BERNARDO
25087401,EMEF ELIZEU CORREIA DANTAS
25087436,EMEF JOSE DE FRANCA
25087444,EMEF JOSE MANOEL
25087452,EMEFEM LUIZ JOAQUIM DOS SANTOS
25087460,EMEF PEDRO SENA
25087487,EMEF JOAQUIM INACIO DA SILVA
25087622,EMEF GABRIEL BECO
25105779,EMEF FRANCISCO MATIAS GAMA
25105787,EMEF MANOEL LEONCIO
25112252,EMEF MANOEL BENTO DUTRA
25115758,EMEF JULIA MARIA DA CONCEICAO
25118641,EMEF IRACEMA MARIA DO NASCIMENTO
25291920,CRECHE INFANTIL NEMEZIO AUGUSTO DE MEIRELES
25292927,EMEF JOAO CALIXTO DOS SANTOS
