CO_ENTIDADE,NO_ENTIDADE
26079275,ESCOLA MUNICIPAL ALONSO BERNARDO DA SILVA
26079291,ESCOLA MUNICIPAL ALOISIO SOUTO PINTO
26079305,ESCOLA MUNICIPAL ANTONIO BERNARDO FILHO
26079313,ESCOLA MUNICIPAL CORONEL SEBASTIAO SIQUEIRA
26079321,ESCOLA MUNICIPAL JOAO XXIII
26079330,ESCOLA MUNICIPAL MONS JULIO DE SIQUEIRA
26079348,ESCOLA MUNICIPAL PEDRO FRANCISCO VIANA
26079372,ESCOLA MUNICIPAL MARIA MARLENE MENDONCA BRUNO
26079402,ESCOLA MUNICIPAL RUI BARBOSA
26079410,ESCOLA MUNICIPAL LUIZ ROCHA
26079453,ESCOLA MUNICIPAL JOAO PEREIRA PINTO
26079488,ESCOLA MUNICIPAL ANTONIO FRANCISCO SOBRINHO
26079577,ESCOLA MUNICIPAL JUVENCIO ANTONIO VIANA
26079607,ESCOLA MUNICIPAL TEIXEIRA DE FREITAS
26151103,ESCOLA MUNICIPAL MANOEL RODRIGUES DE SOUZA
26158680,CRECHE CRIANCA ESPERANCA
