CO_ENTIDADE,NO_ENTIDADE
26031256,ESCOLA MUNICIPAL ANTONIA CALDAS BRANDAO
26031310,ESCOLA MUNICIPAL ALEXANDRE PARENTE DE SA
26031329,ESCOLA MUNICIPAL ANDRE FLORENTINO CAVALCANTI
26031418,ESCOLA MUNICIPAL EMILIO SILVA
26031434,ESCOLA MUNICIPAL FURTUNATO ALVES DE SOUZA
26031450,ESCOLA MUNICIPAL GEZUALDO FREIRE DE CARVALHO
26031507,ESCOLA MUNICIPAL JOAO ROCHA
26031515,ESCOLA MUNICIPAL JOAQUIM MENDES DINIZ
26031531,ESCOLA MUNICIPAL JOSE ALVES BRANDAO
26031566,ESCOLA MUNICIPAL JOSE FRANCISCO DE SA
26031590,ESCOLA MUNICIPAL VEREADOR JOSE NILTON BIONE DE ANDRADE
26031647,ESCOLA MUNICIPAL MANOEL JOAQUIM DE MORAES
26031663,ESCOLA MUNICIPAL MANOEL PEREIRA DA SILVA I
26031701,ESCOLA MUNICIPAL MAURICIO DE SA FERRAZ FILHO
26031710,ESCOLA MUNICIPAL NIVALDO DE OLIVEIRA BARROS
26031728,ESCOLA MUNICIPAL PEDRO GONCALVES DOS SANTOS
26031744,ESCOLA MUNICIPAL PRESIDENTE COSTA E SILVA
26031795,ESCOLA MUNICIPAL SAO SEBASTIAO
26031817,ESCOLA MUNICIPAL LIONS BRIGIDA DE MELO FERREIRA
26032040,ESCOLA MUNICIPAL MANOEL VIEIRA DE BRITO
26032074,ESCOLA MUNICIPAL PEDRO TOMAS LANDIM
26032139,ESCOLA MUNICIPAL ANTONIO RODRIGUES DA SILVA
26032163,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL EVANDRO FERREIRA DOS SANTOS
26032198,ESCOLA MUNICIPAL JOAQUIM ANDRE CAVALCANTI
26032201,ESC MUNICIPAL PREFEITO JOSE CALDAS CAVALCANTI
26032279,ESCOLA MUNICIPAL JOSE RIBEIRO DA SILVA
26032368,ESCOLA BRIGIDA DE ALENCAR
26168332,ESCOLA MUNICIPAL JORNALISTA ASSIS CHATEAUBRIAND
26183714,ESCOLA GUIOMAR GOMES DE SA
26183722,CRECHE MUNICIPAL ANSBERTO JULIO VIDAL FERRAZ
26183773,VENCESLAU BENEDITO BARBOSA
26183781,ESCOLA MUNICIPAL JOAQUIM CLEMENTINO DO NASCIMENTO
