CO_ENTIDADE,NO_ENTIDADE
26073110,GRUPO ESC MARIA PINTO SOUTO DOS SANTOS
26073145,GRUPO ESCOLAR ANTONIA UMBELINA GUIMARAES
26073170,GRUPO ESCOLAR ANTONIO DANTAS DE BARROS
26073188,GRUPO ESC ANTONIO FAUSTINO DOS SANTOS
26073200,GRUPO ESCOLAR AURINO TENORIO DA FONSECA
26073218,GRUPO ESCOLAR BERNARDINO TORRES GALINDO
26073226,GRUPO ESCOLAR DULCE MARIA DA CONCEICAO
26073234,GRUPO ESCOLAR EUCLIDES GOMES DE OLIVEIRA
26073277,GRUPO ESC JOAQUIM ALVES DOS SANTOS
26073285,GRUPO ESCOLAR JOSE FERREIRA DE LIMA
26073293,GRUPO ESCOLAR JOSE GUEIROS DA SILVA
26073331,GRUPO ESCOLAR OLEGARIO CAETANO PAES
26073340,GRUPO ESCOLAR PEDRO ALVES DIAS
26073390,ESC INTER JOAO CABRAL DA SILVA FILHO
26073412,GRUPO ESC VICENTE LAURENTINO DE SOUZA
26073455,GRUPO ESCOLAR MANOEL BENTO DANTAS
26142953,CRECHE ELIZABETE FIRMA DE SANTANA
26185881,ESCOLA PROFESSORA MIRNA MARIA CALADO TENORIO
