CO_ENTIDADE,NO_ENTIDADE
26009021,ESCOLA MUL ANTONIO EUFRASIO DA SILVA
26009030,ESCOLA MUL ANTONIO LUIZ DE SANTANA
26009048,ESCOLA MUNICIPAL CASTRO ALVES
26009072,ESCOLA MUL EDUCADOR PAULO FREIRE
26009137,ESCOLA MUL JOSE INACIO LEITE
26009145,ESCOLA MUL JOSE QUENTAL DA CRUZ
26009153,ESCOLA MUL JOSE URIAS NOVAES
26009200,ESCOLA MUL MANOEL CLAUDIO SIDRIM
26009218,ESCOLA MUL MANOEL MARCULINO PEREIRA
26009277,ESCOLA MUL PEDRO ANTONIO DO NASCIMENTO
26009285,ESCOLA MUL PEDRO ANTONIO DOS ANJOS
26009293,ESCOLA MUL PEDRO INACIO LEITE
26009331,ESCOLA MUNICIPAL MARIA ANA DA CONCEICAO
26186144,CRECHE MUNICIPAL PADRE LINO LORETO DELLA MORTE
