CO_ENTIDADE,NO_ENTIDADE
25057073,COLEGIO MUNICIPAL PADRE GALVAO
25057103,EMEF JOVENTINO PAULO DA SILVA
25057286,EMEF ANSELMO TOME DE SOUZA
25057308,EMEF ELIZETE PEREIRA DE ARAUJO
25057324,EMEF FRANCISCO ROSA
25057332,EMEF JOAO XXIII
25057340,EMEF JOSE AVELINO DA SILVA
25057359,EMEF JOSE LUIZ DE MELO
25057375,EMEIEF JOSE TOME
25057383,EMEF JUCINEIDE A PEREIRA
25057391,EMEF MANOEL AGOSTINHO DA SILVA
25057413,EMEF OSMAN CAVALCANTI LEAL
25057448,EMEF RUI BARBOSA
25057472,EMEF FRANCISCO F DOS SANTOS
25057499,EMEF MARIA DA GUIA SALES
25057537,EMEF JOAO PEREIRA DE SOUZA
25057545,EMEF JULIAO
25057618,EMEF PEDRO GALDINO SOARES
25057650,EMEF FRANCISCO JANUARIO DA SILVA
25057669,EMEF MENINO JESUS
25057774,EMEF CASTRO ALVES
25109065,CRECHE IRMA SANTANA
25187805,EMEIF SANTA TEREZINHA
