CO_ENTIDADE,NO_ENTIDADE
26090821,COLEGIO MUNICIPAL PRESIDENTE TANCREDO DE ALMEIDA NEVES
26090848,COLEGIO MUNICIPAL DOM MOTA
26090929,GRUPO ESCOLAR MUNICIPAL MINIMA LAGOA DO RAMO
26090988,ESCOLA MUNICIPAL IRMA GUERRA
26091038,GRUPO ESCOLAR MUNICIPAL DEP TORQUATO FERREIRA LIMA
26091046,GRUPO ESCOLAR MUL MANOEL MIGUEL DO NASCIMENTO
26091070,ESCOLA MUNICIPAL DOUTOR OSVALDO NEVES MARANHAO
26091119,GRUPO ESC MUL DR DOMINGOS DE ABREU VASCONCELOS
26091127,GRUPO ESCOLAR MUL EDITE CORREIA DE SOUZA
26091178,ESCOLA MUNICIPAL DOM CARLOS COELHO
26175665,ESCOLA MUNICIPAL NATERCIA AZEVEDO DE ANDRADE PEREIRA
26177811,ESCOLA MUNICIPAL HENRIQUE FLORIANO COUTINHO
26178400,COLEGIO MUNICIPAL MONS CARLOS NEVES CALABRIA
