CO_ENTIDADE,NO_ENTIDADE
24061875,ESCOLA MUNICIPAL ADALIA DIAS
24061883,EM ALBERTO TORRES GALVAO
24061891,ESCOLA MUNICIPAL INDIGENA ALFREDO LIMA
24061905,EM ALUIZIO ALVES
24061921,EM CORONEL JOSE LUCIO RIBEIRO
24061948,EM DAVID SIMONETTI
24061956,EM DONA MARIQUINHA
24061964,EM DONA TOINHA
24061980,EM DR HELIO M F GALVAO ENS 1 GRAU
24061999,EM DR JOAO B GADELHA DO ESPIRITO SANTO
24062006,EM EMILIA FREIRE DE LIMA
24062030,EM JOAO CARVALHO BARBALHO
24062049,ESCOLA MUNICIPAL JOAO LUCIO DE LIMA
24062065,EM LUIZ GONZAGA BARBALHO NETO
24062090,EM PRF NAZARE DE ANDRADE DUARTE
24062103,ESCOLA MUNICIPAL PEDRO ALEXANDRINO DA SILVA
24062120,EM PROFESSORA TEREZA FAGUNDES DE LIMA
24062138,ESCOLA MUNICIPAL ZUZA GRANDE
24062170,ESCOLA MUNICIPAL JOAO MANDU DA SILVA
24073873,EM DEP MARIA DO CEU PEREIRA FERNANDES
24086932,CENTRO MUNICIPAL DE EDUCACAO INFANTIL ALUIZIO CARVALHO BARBALHO
24092401,CENTRO MUNICIPAL DE EDUCACAO INFANTIL ANA FELIZARDO
24092606,CENTRO MUNICIPAL DE EDUCACAO INFANTIL DIVA BARBALHO
24092800,CENTRO MUNICIPAL DE EDUCACAO INFANTIL IRENE LISBOA
24093009,CENTRO MUNICIPAL DE EDUCACAO INFANTIL ISAURA GONCALVES
24240206,CENTRO MUNICIPAL DE EDUCACAO INFANTIL ELIZABETH BERNARDO
24296309,CENTRO MUNICIPAL DE EDUCACAO INFANTIL ISAURA DA COSTA GALVAO
24346306,ESCOLA DE MUSICA MAESTRO CLAUDIONOR DE OLIVEIRA
