CO_ENTIDADE,NO_ENTIDADE
27030776,ESCOLA MUNICIPAL DE EDUCACAO BASICA ALFREDO SOARES DA SILVA
27030784,ESCOLA MUNICIPAL DE EDUCACAO BASICA CORONEL JOSE PESSOA DE QUEIROZ
27030814,ESCOLA MUNICIPAL DE EDUCACAO BASICA MARIA ANGELICA DIAS
27030849,ESCOLA MANOEL SOARES DA SILVA
27030857,ESCOLA MUNICIPAL DE EDUCACAO BASICA MARECHAL RONDON
27030865,ESCOLA MUNICIPAL DE EDUCACAO BASICA VEREADOR JANIO SOARES DA SILVA
27030873,ESCOLA MUNICIPAL DE EDUCACAO BASICA MARIO GOMES DE BARROS
27030881,ESCOLA MUNICIPAL DE EDUCACAO BASICA MARIA DE LOURDES DA SILVA
27030903,ESCOLA MUNICIPAL DE EDUCACAO BASICA SANTA ANA
27030911,ESCOLA MUNICIPAL DE EDUCACAO BASICA DURVAL GUIMARAES NETO
27030920,ESCOLA MUNICIPAL DE EDUCACAO BASICA AURELIANO CAVALCANTE BANDEIRA DE MELO
27030938,ESCOLA MUNICIPAL DE EDUCACAO BASICA RUI BARBOSA
27030946,ESCOLA SALUSTIANO BARROS LINS
27030962,ESCOLA MUNICIPAL DE EDUCACAO BASICA VEREADOR LOURIVAL NOBERTO LINS
27030997,ESCOLA ULISSES BANDEIRA
27031004,ESCOLA MUNICIPAL DE EDUCACAO BASICA EMILIO DE SOUZA
27031047,ESCOLA MUNICIPAL DE EDUCACAO BASICA JOSE AMBROSIO
27219151,ESCOLA MUNICIPAL DE EDUCACAO BASICA ANTONIO CARLOS DA SILVA
27221130,CRECHE JOSE TIAGO GOMES
