CO_ENTIDADE,NO_ENTIDADE
27044874,ESCOLA MUNICIPAL DE EDUCACAO BASICA MANOEL PINHEIRO FALCONERI
27044904,ESCOLA MUNICIPAL DE EDUCACAO BASICA GENERAL ARTUR DA COSTA E SILVA
27044912,ESCOLA MUNICIPAL DE EDUCACAO BASICA PROFESSORA AURITA ROCHA
27044920,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL PRESIDENTE CASTELO BRANCO
27044947,ESCOLA MUNICIPAL DE EDUCACAO BASICA DERMEVAL RAPOSO
27044955,ESCOLA MUNICIPAL DE EDUCACAO BASICA DR OCEANO CARLEAL
27044971,ESCOLA MUNICIPAL DE EDUCACAO BASICA MARECHAL FLORIANO PEIXOTO
27044980,ESCOLA MUNICIPAL DE EDUCACAO BASICA FREI HENRIQUE DE COIMBRA
27045005,ESCOLA MUNICIPAL DE EDUCACAO BASICA JOSE LADISLAU DA SILVA
27045013,ESCOLA MUNICIPAL DE EDUCACAO BASICA JOSE MIGUEL DOS SANTOS
27045048,ESCOLA MUNICIPAL DE EDUCACAO BASICA PEDRO VIEIRA DO NASCIMENTO
27045056,ESCOLA MUNICIPAL DE EDUCACAO BASICA PRINCESA ISABEL
27045102,ESCOLA MUNICIPAL DE EDUCACAO BASICA 31 DE MARCO
27053423,CENTRO MUNICIPAL DE EDUCACAO INFANTIL PREFEITO JOSE AUGUSTO SOUSA SANTOS
27055205,CRECHE VEREADOR EDVALDO VASCONCELOS
27214176,ESCOLA MUNICIPAL DE EDUCACAO BASICA PROFESSORA MARIA NAZARE FRANCA RAPOSO
27214460,ESCOLA MUNICIPAL DE EDUCACAO BASICA JULIO LEITE
27214567,ESCOLA MUNICIPALDE EDUCACAO BASICA MANOEL DOS SANTOS FILHO
27215202,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL DOUTOR CARLOS BENIGNO PEREIRA DE LYRA
27215300,ESCOLA MUNICIPAL DE EDUCACAO BASICA PROFª ELZA BORGES SOARES
27215377,ESCOLA MUNICIPAL DE EDUCACAO BASICA PROFª EDELVITA GLORIA LUZ
27215490,ESCOLA MUNICIPAL DE EDUCACAO BASICA AGRICOLA GUERRA
27215539,ESCOLA MUNICIPAL DE EDUCACAO BASICA GOVERNADOR LUIZ CAVALCANTE
27230686,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL FREI ARNALDO MOTTA E SA
