CO_ENTIDADE,NO_ENTIDADE
27039048,NUCLEO DE EDUCACAO INFANTIL OCTAVIO TEIXEIRA
27039072,NUCLEO DE EDUCACAO INFANTIL REINO INFANTIL
27039080,CRECHE MUNICIPAL TANIA CAVALCANTE PLACIDO
27039099,NUCLEO DE EDUCACAO INFANTIL ADELIA CAVALCANTE COSTA
27039102,ESCOLA DE 1º E 2º GRAUS PROFª Mª PETRONILA DE GOUVEIA
27039153,ESCOLA DE 1º GRAU JOSE BISPO DA SILVA
27039161,ESCOLA MUNICIPAL ADELINA DE CARVALHO MELO
27039170,ESCOLA MUNICIPAL ANTONIO SEVERO
27039188,ESCOLA MUNICIPAL D MARIA DE ARAUJO LOBO
27039218,ESCOLA MUNICIPAL DR PEDRO NOLASCO
27039226,ESCOLA MUNICIPAL DR SILVERIO JORGE
27039250,ESCOLA MUNICIPAL PROFESSOR HAMILTON GOUVEIA LEMOS
27039269,ESCOLA MUNICIPAL PADRE CICERO
27039277,ESCOLA MUNICIPAL GILCELANDIA
27039285,ESCOLA MUNICIPAL JOAQUIM GAMA FILHO
27039293,ESCOLA MUNICIPAL MANOEL MESSIAS DOS SANTOS
27039307,ESCOLA MUNICIPAL JONAS DE OLIVEIRA PINTO
27039323,ESCOLA MUNICIPAL PROFESSORA LUCAS
27039331,ESCOLA MUNICIPAL ALTINA RIBEIRO TOLEDO
27039340,ESCOLA MUNICIPAL GOVERNADOR LUIZ CAVALCANTE
27039366,ESCOLA MUNICIPAL NOVA ESPERANCA
27039382,GRUPO ESCOLAR CLOVIS TOLEDO DE ALBUQUERQUE
27039390,GRUPO MUNICIPAL AURORA DE ARAUJO TENORIO
27039404,ESCOLA MUNICIPAL PREFEITO EDIVAL LEMOS SANTOS
27039420,ESCOLA MUNICIPAL SAO JOSE
27039439,ESCOLA MUNICIPAL JOAO DE FARIAS LOBO
27039447,ESCOLA MUNICIPAL DAMASO JOSE DE AMORIM
27039455,ESCOLA MUNICIPAL HOSANO PINTO DAMASO
27039463,ESCOLA MUNICIPAL JOAO BATISTA VASCONCELOS
27039471,ESCOLA MUNICIPAL MAJOR ALFREDO TENORIO LINS
27039480,ESCOLA MUNICIPAL PROFESSORA ELEUZA GALVAO RODAS
27039501,ESCOLA MUNICIPAL LIDIA RODRIGUES DE OLIVEIRA
27039510,NUCLEO DE EDUCACAO INFANTIL SONHO FELIZ
27053695,ESCOLA MUNICIPAL CARLOS AVELINO DA SILVA
27053750,NUCELO DE EDUCACAO INFANTIL MARIA IRENE DA SILVA
27053962,CRECHE MUNICIPAL MARIA DO SOCORRO ALVES SANTOS
27054039,ESCOLA MUNICIPAL DR CLAUDIO ROBERTO DA COSTA SANTOS
27054993,CRECHE MUNICIPAL MANOEL PEDRO NETO
27216934,ESCOLA MUNICIPAL IZAURA ALMEIDA DOS SANTOS
27216942,ESCOLA MUNICIPAL ANTONIO CABRAL TOLEDO
27217582,NUCLEO DE EDUCACAO INFANTIL CRIANCA FELIZ
27217612,NUCLEO DE EDUCACAO INFANTIL BENVINDA PAU FERRO
27224198,ESCOLA MUNICIPAL MANOEL GONCALVES SOBRINHO
27225550,ESCOLA MUNICIPAL DR JOVINIANO DE ALMEIDA RODAS
