CO_ENTIDADE,NO_ENTIDADE
24029432,ESCOLA MUNICIPAL MANOEL DOMINGOS
24029440,ESCOLA MUNICIPAL SANTA RITA
24029459,ESC MUL CICERO ROMAO DE SOUZA
24029475,ESCOLA MUNICIPAL PROFESSORA ANGELA MARIA DE MOURA
24029483,ESC MUL JOAO LUIZ VICTOR
24029491,ESCOLA MUNICIPAL JOAO XXIII
24029548,ESC MUN MONS PAULO HERONCIO DE MELO
24029556,ESCOLA MUNICIPAL MONSENHOR WALFREDO GURGEL
24029564,ESC MUN NOSSA SRA DA CONCEICAO
24029602,ESCOLA MUNICIPAL SAO LUIZ
24029637,ESCOLA MUNICIPAL DOM JOSE DELGADO
24029645,CENTRO MUNICIPAL DE EDUCACAO INFANTIL PROFESSOR EVILASIO LUIZ VICTOR
24064661,ESCOLA MUNICIPAL PROFESSORA MARIA ESTELINA DA SILVA MENDES
24073504,UNIDADE MUNICIPAL DE EDUCACAO INFANTIL MARIA DE LOURDES MEDEIROS
24073512,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL FRANCISCO JERONIMO DE MEDEIROS
24078603,EM ADALGISA AMORIM BEZERRA
24080098,CENTRO MUNICIPAL DE ATENDIMENTO ESPECIALIZADO MAURO AUGUSTO DA CRUZ
24090220,EM DE ENSINO FUNDAMENTAL DE EDUCACAO DE JOVENS E ADULTOS PROFESSORA FRANCISCA GORETE LOPES
