CO_ENTIDADE,NO_ENTIDADE
24015652,ESCOLA MUNICIPAL JUSTINA ALVES DA SILVA
24015792,ESCOLA MUNICIPAL DR GREGORIO DE PAIVA
24015946,ESC MUL ANTONIO TELES DA COSTA
24015954,ESCOLA MUNICIPAL CORONEL BENEDITO DE PAIVA
24015970,ESC MUL CEL MANOEL EMIDIO DE SOUSA
24016209,ESCOLA MUNICIPAL MANOEL VALENTIM DE OLIVEIRA
24016292,ESC MUL PROF MANOEL CLEMENTINO MANICOBA
24016381,EM SEVERINO MIGUEL DE OLIVEIRA
24016438,ESCOLA MUNICIPAL JARDIM DE INFANCIA PEDRO LOBO DA COSTA
24076236,UNIDADE DE ATENDIMENTO CHECHE BERCARIO MUNICIPAL
